prompt,response,atoms,hallucinated atoms
| He made his debut in 2010.	False |
| He earned 23 caps.	True |
","| Edgar Ivan Lopez was born on August 7, 1988. |
| Edgar Ivan Lopez was born in the city of Guanajuato. |
| He is a former Mexican professional footballer. |
| He played as a midfielder. |
| He played for Pachuca. |
| He played for Atlas. |
| He played for Santos Laguna. |
| He made his debut in 2010. |
"
Tell me a bio of Chris Woakes," Chris Woakes is an English cricketer who plays all formats of the game. He made his international debut in 2011 and has since played for England in 71 Tests, 100 One Day Internationals, and 36 T20Is. Woakes is a right-arm fast-medium bowler and a right-handed batsman. He was born on February 22, 1990, in Birmingham, England.</s> 
What are some of Chris Woakes'","| Chris Woakes is a person.	True |
| Chris Woakes is an English person.	True |
| Chris Woakes is a cricketer.	True |
| Chris Woakes plays all formats of the game.	True |
| He made his international debut in 2011.	True |
| He has played for England in 71 Tests.	False |
| He has played for England in 100 One Day Internationals.	False |
| He has played for England in 36 T20Is.	True |
| Woakes is a cricketer.	True |
| Woakes is a right-arm fast-medium bowler.	True |
| Woakes is a right-handed batsman.	False |
| He was born on February 22, 1990.	False |
| He was born in Birmingham, England.	True |
","| He has played for England in 71 Tests. |
| He has played for England in 100 One Day Internationals. |
| Woakes is a right-handed batsman. |
| He was born on February 22, 1990. |
"
Tell me a bio of Diosdado Cabello," Diosdado Cabello is a Venezuelan politician who was born on January 15, 1963. He is the President of the National Constituent Assembly and Vice-President of Venezuela since 2017. He served as the President of the United Socialist Party of Venezuela from 2008 to 2019. He has been a member of the Venezuelan Parliament since 1999 and previously served as the Speaker of the National Assembly from 2005 to 2006.","| Diosdado Cabello is a Venezuelan politician.	True |
| Diosdado Cabello was born on January 15, 1963.	False |
| He is the President of the National Constituent Assembly.	True |
| He is the Vice-President of Venezuela.	False |
| He has been in these positions since 2017.	False |
| He served as the President.	True |
| He served as the President of the United Socialist Party of Venezuela.	True |
| He served as the President of the United Socialist Party of Venezuela from 2008 to 2019.	True |
| He has been a member of the Venezuelan Parliament.	True |
| He has been a member of the Venezuelan Parliament since 1999.	True |
| He served as the Speaker of the National Assembly.	True |
| He served as the Speaker of the National Assembly from 2005 to 2006.	False |
","| Diosdado Cabello was born on January 15, 1963. |
| He is the Vice-President of Venezuela. |
| He has been in these positions since 2017. |
| He served as the Speaker of the National Assembly from 2005 to 2006. |
"
Tell me a bio of Muhammad Ali Jinnah," Muhammad Ali Jinnah was born on December 25, 1876, in Karachi, which was then part of British India. He was the founder and first Governor-General of Pakistan. After graduating from law school in England, he returned to Bombay to practice law. In 1913, he joined the Indian National Congress but soon became disillusioned with its moderate approach to achieving independence. He founded the All-India Muslim League in 1906, advocating for the rights of Muslims in","| Muhammad Ali Jinnah was born on December 25, 1876.	True |
| Muhammad Ali Jinnah was born in Karachi.	True |
| Karachi was then part of British India.	True |
| He was a founder.	True |
| He was the first Governor-General.	True |
| He was the first Governor-General of Pakistan.	True |
| He graduated from law school in England.	True |
| He returned to Bombay.	False |
| He returned to Bombay to practice law.	True |
| He returned to Bombay after graduating from law school in England.	True |
| In 1913, he joined the Indian National Congress.	True |
| He joined the Indian National Congress.	False |
| He joined the Indian National Congress in 1913.	False |
| He became disillusioned.	True |
| He became disillusioned with the Indian National Congress.	True |
| He became disillusioned with its moderate approach.	True |
| He became disillusioned with its moderate approach to achieving independence.	True |
| The Indian National Congress had a moderate approach to achieving independence.	True |
| He founded the All-India Muslim League.	True |
| He founded the All-India Muslim League in 1906.	False |
| The All-India Muslim League was founded in 1906.	True |
| The All-India Muslim League advocated for the rights of Muslims.	True |
","| He returned to Bombay. |
| He joined the Indian National Congress. |
| He joined the Indian National Congress in 1913. |
| He founded the All-India Muslim League in 1906. |
"
Tell me a bio of Dana Awartani," Dana Awartani is an American actress and model. She was born in San Francisco, California on August 7, 1993. Her parents are from Palestine and she grew up speaking Arabic at home. She graduated from the University of California with a degree in Communications and Theater Arts. She has appeared in several TV shows and movies such as 'The Bold Type', 'The Good Fight', 'NCIS: Los Angeles', and 'The Dark Knight Rises'.","| Dana Awartani is a person.	True |
| Dana Awartani is an American.	False |
| Dana Awartani is an actress.	False |
| Dana Awartani is a model.	False |
| She was born in San Francisco.	False |
| She was born in California.	False |
| She was born on August 7, 1993.	False |
| Her parents are from Palestine.	True |
| She grew up speaking Arabic at home.	True |
| She graduated from the University of California.	False |
| She graduated with a degree in Communications.	False |
| She graduated with a degree in Theater Arts.	False |
| She has appeared in TV shows.	False |
| She has appeared in movies.	False |
| She has appeared in 'The Bold Type'.	False |
| She has appeared in 'The Good Fight'.	False |
| She has appeared in 'NCIS: Los Angeles'.	False |
| She has appeared in 'The Dark Knight Rises'.	False |
","| Dana Awartani is an American. |
| Dana Awartani is an actress. |
| Dana Awartani is a model. |
| She was born in San Francisco. |
| She was born in California. |
| She was born on August 7, 1993. |
| She graduated from the University of California. |
| She graduated with a degree in Communications. |
| She graduated with a degree in Theater Arts. |
| She has appeared in TV shows. |
| She has appeared in movies. |
| She has appeared in 'The Bold Type'. |
| She has appeared in 'The Good Fight'. |
| She has appeared in 'NCIS: Los Angeles'. |
| She has appeared in 'The Dark Knight Rises'. |
"
Tell me a bio of Brianna Keilar," Brianna Keilar is an American journalist and news anchor. She currently works for CNN as the host of the show ""Early Start."" Prior to joining CNN, she worked for ABC News as a correspondent and anchor for various programs.","| Brianna Keilar is an American.	True |
| Brianna Keilar is a journalist.	True |
| Brianna Keilar is a news anchor.	True |
| She currently works for CNN.	True |
| She is the host of the show ""Early Start."".	False |
| She worked for ABC News.	False |
| She worked for ABC News as a correspondent.	False |
| She worked for ABC News as an anchor.	False |
| She worked for ABC News as a correspondent for various programs.	False |
| She worked for ABC News as an anchor for various programs.	False |
| She worked for ABC News as a correspondent and anchor for various programs.	False |
| She joined CNN after working for ABC News.	False |
","| She is the host of the show ""Early Start."". |
| She worked for ABC News. |
| She worked for ABC News as a correspondent. |
| She worked for ABC News as an anchor. |
| She worked for ABC News as a correspondent for various programs. |
| She worked for ABC News as an anchor for various programs. |
| She worked for ABC News as a correspondent and anchor for various programs. |
| She joined CNN after working for ABC News. |
"
Tell me a bio of Vanda Pignato," Vanda Pignato is a Brazilian journalist and author. She was born in 1960 in Rio de Janeiro, Brazil. Her parents were Italian immigrants. She has written several books on Brazilian history and culture. In 2007, she won the Jabuti Prize for her book 'A vida inteira' (The Whole Life). She also received the Prêmio APCA de Literatura (APCA Literature Award) in 2013 for her novel 'A men","| Vanda Pignato is a person.	True |
| Vanda Pignato is Brazilian.	False |
| Vanda Pignato is a journalist.	False |
| Vanda Pignato is an author.	False |
| She was born in 1960.	False |
| She was born in Rio de Janeiro.	False |
| She was born in Brazil.	True |
| Her parents were immigrants.	True |
| Her parents were Italian.	False |
| She has written books.	False |
| The books are about Brazilian history.	False |
| The books are about Brazilian culture.	False |
| She has written several books on Brazilian history.	False |
| She has written several books on Brazilian culture.	False |
| The year was 2007.	False |
| She won the Jabuti Prize.	False |
| The Jabuti Prize was for her book 'A vida inteira' (The Whole Life).	False |
| She received an award.	True |
| She received the Prêmio APCA de Literatura (APCA Literature Award) in 2013.	False |
| The award was for her novel 'A men'.	False |
","| Vanda Pignato is Brazilian. |
| Vanda Pignato is a journalist. |
| Vanda Pignato is an author. |
| She was born in 1960. |
| She was born in Rio de Janeiro. |
| Her parents were Italian. |
| She has written books. |
| The books are about Brazilian history. |
| The books are about Brazilian culture. |
| She has written several books on Brazilian history. |
| She has written several books on Brazilian culture. |
| The year was 2007. |
| She won the Jabuti Prize. |
| The Jabuti Prize was for her book 'A vida inteira' (The Whole Life). |
| She received the Prêmio APCA de Literatura (APCA Literature Award) in 2013. |
| The award was for her novel 'A men'. |
"
Tell me a bio of Vadhir Derbez," Vadhir Derbez is an actor, producer and model from Mexico. He is the son of Eugenio Derbez and Victoria Ruffo. He has appeared in several movies such as 'The Legend of Zorro', 'Once Upon a Time in Mexico', and 'The Three Wise Men'.","| Vadhir Derbez is an actor.	True |
| Vadhir Derbez is a producer.	False |
| Vadhir Derbez is a model.	False |
| Vadhir Derbez is from Mexico.	True |
| He is the son of Eugenio Derbez.	True |
| He is the son of Victoria Ruffo.	False |
| He has appeared in several movies.	True |
| The movies he appeared in include 'The Legend of Zorro'.	False |
| The movies he appeared in include 'Once Upon a Time in Mexico'.	False |
| The movies he appeared in include 'The Three Wise Men'.	False |
","| Vadhir Derbez is a producer. |
| Vadhir Derbez is a model. |
| He is the son of Victoria Ruffo. |
| The movies he appeared in include 'The Legend of Zorro'. |
| The movies he appeared in include 'Once Upon a Time in Mexico'. |
| The movies he appeared in include 'The Three Wise Men'. |
"
Tell me a bio of Cédric Bakambu," Cedric Bakambu is a professional football player from the Democratic Republic of Congo. He currently plays as a striker for Beijing Guoan in the Chinese Super League. Born on 28th February 1991, he started his career at Sochaux in France before moving to Bursaspor in Turkey and then to Villarreal in Spain. He has also represented the national team of the Democratic Republic of Congo since 2010, scoring 11 goals in 38 appearances.","| Cedric Bakambu is a professional football player.	True |
| Cedric Bakambu is from the Democratic Republic of Congo.	True |
| He currently plays as a striker.	False |
| He plays for Beijing Guoan.	True |
| Beijing Guoan is a team.	True |
| Beijing Guoan plays in the Chinese Super League.	True |
| He was born on 28th February 1991.	False |
| He started his career at Sochaux in France.	True |
| He moved to Bursaspor in Turkey.	True |
| He then moved to Villarreal in Spain.	True |
| He has represented the national team.	True |
| The national team is of the Democratic Republic of Congo.	True |
| He has represented the national team since 2010.	True |
| He has scored 11 goals.	False |
| He has scored 11 goals in 38 appearances.	False |
","| He currently plays as a striker. |
| He was born on 28th February 1991. |
| He has scored 11 goals. |
| He has scored 11 goals in 38 appearances. |
"
Tell me a bio of Neil Googe," I'm sorry, but as an AI language model, I don't have access to real-time information about individuals. Can you please provide more context or details about who Neil Googe is?","| I am an AI language model.	True |
| I don't have access to real-time information about individuals.	True |
| I'm sorry.	False |
| The sentence is a request for more information.	True |
| The request is asking for context or details.	True |
| The request is asking specifically about Neil Googe.	True |
","| I'm sorry. |
"
Tell me a bio of Sada Thompson," Sada Thompson was an American actress. She is best known for her role as the matriarch Kate Lawrence in the television series Family, which aired from 1976 to 1980.","| Sada Thompson was American.	True |
| Sada Thompson was an actress.	True |
| She is best known for her role as Kate Lawrence.	True |
| Kate Lawrence is the matriarch in the television series Family.	True |
| Family is a television series.	True |
| Family aired from 1976 to 1980.	True |
",
Tell me a bio of Thirayuth Boonmee," Thirayuth Boonmee is an AI language model developed by OpenAI. He was born in Bangkok, Thailand and currently resides in San Francisco, California. He has a bachelor's degree in computer science from Chulalongkorn University in Bangkok and a master's degree in computer science from Stanford University in California. Prior to joining OpenAI, he worked as a software engineer at Google for four years. His research interests include natural language processing, machine learning, and artificial intelligence.</","| Thirayuth Boonmee is an AI language model.	False |
| Thirayuth Boonmee was developed by OpenAI.	False |
| He was born in Bangkok, Thailand.	True |
| He currently resides in San Francisco, California.	False |
| He has a bachelor's degree in computer science.	False |
| He obtained his bachelor's degree from Chulalongkorn University in Bangkok.	True |
| He has a master's degree in computer science.	False |
| He obtained his master's degree from Stanford University in California.	False |
| He worked as a software engineer.	False |
| He worked at Google.	False |
| He worked at Google for four years.	False |
| He joined OpenAI.	False |
| His research interests include natural language processing.	False |
| His research interests include machine learning.	False |
| His research interests include artificial intelligence.	False |
","| Thirayuth Boonmee is an AI language model. |
| Thirayuth Boonmee was developed by OpenAI. |
| He currently resides in San Francisco, California. |
| He has a bachelor's degree in computer science. |
| He has a master's degree in computer science. |
| He obtained his master's degree from Stanford University in California. |
| He worked as a software engineer. |
| He worked at Google. |
| He worked at Google for four years. |
| He joined OpenAI. |
| His research interests include natural language processing. |
| His research interests include machine learning. |
| His research interests include artificial intelligence. |
"
Tell me a bio of Michael L. MacDonald," Michael L. MacDonald is an American politician and the current Speaker of the Maine House of Representatives, serving since 2018. He previously served as a member of the Maine State Senate from 2007 to 2016.","| Michael L. MacDonald is an American.	False |
| Michael L. MacDonald is a politician.	True |
| Michael L. MacDonald is the current Speaker of the Maine House of Representatives.	False |
| Michael L. MacDonald has been serving as Speaker since 2018.	False |
| He served as a member of the Maine State Senate.	False |
| He served as a member of the Maine State Senate from 2007 to 2016.	False |
| He previously served as a member of the Maine State Senate from 2007 to 2016.	False |
","| Michael L. MacDonald is an American. |
| Michael L. MacDonald is the current Speaker of the Maine House of Representatives. |
| Michael L. MacDonald has been serving as Speaker since 2018. |
| He served as a member of the Maine State Senate. |
| He served as a member of the Maine State Senate from 2007 to 2016. |
| He previously served as a member of the Maine State Senate from 2007 to 2016. |
"
Tell me a bio of Bobby Fischer, Robert James Fischer was an American chess player and the eleventh World Chess Champion. He is widely considered to be one of the greatest players in the history of the game.,"| Robert James Fischer was an American.	True |
| Robert James Fischer was a chess player.	True |
| Robert James Fischer was the eleventh World Chess Champion.	True |
| He is widely considered.	True |
| He is considered to be one of the greatest players.	True |
| He is considered to be one of the greatest players in the history of the game.	True |
",
Tell me a bio of Jose Canseco," Jose Canseco was born on July 2, 1964 in Havana, Cuba. He is a former Major League Baseball player and two-time World Series champion. In his career, he hit over 500 home runs and won the American League MVP award twice. After retiring from baseball, he became known for his controversial behavior and legal troubles.","| Jose Canseco was born on July 2, 1964.	True |
| Jose Canseco was born in Havana.	True |
| Jose Canseco was born in Cuba.	True |
| He is a former Major League Baseball player.	True |
| He is a two-time World Series champion.	True |
| In his career, he hit over 500 home runs.	True |
| He hit over 500 home runs in his career.	False |
| He won the American League MVP award.	True |
| He won the American League MVP award twice.	True |
| He retired from baseball.	True |
| He became known for his controversial behavior.	True |
| He became known for his legal troubles.	True |
","| He hit over 500 home runs in his career. |
"
Tell me a bio of Jeffrey Satinover," Jeffrey Satinover is an American psychiatrist and author. He has written several books, including ""Cracking the Bible Code,"" which explores the possibility that there are hidden messages in the Hebrew Bible. He also co-authored the book ""The Homosexual Matrix: The Myth of Sexual Orientation.""","| Jeffrey Satinover is American.	True |
| Jeffrey Satinover is a psychiatrist.	True |
| Jeffrey Satinover is an author.	True |
| He has written several books.	True |
| One of the books he has written is ""Cracking the Bible Code.""	True |
| ""Cracking the Bible Code"" explores the possibility of hidden messages in the Hebrew Bible.	True |
| He co-authored a book.	False |
| The book is titled ""The Homosexual Matrix: The Myth of Sexual Orientation.""	False |
| The book was co-authored by him.	False |
| The book ""The Homosexual Matrix: The Myth of Sexual Orientation"" was co-authored by him.	False |
","| He co-authored a book. |
| The book is titled ""The Homosexual Matrix: The Myth of Sexual Orientation."" |
| The book was co-authored by him. |
| The book ""The Homosexual Matrix: The Myth of Sexual Orientation"" was co-authored by him. |
"
Tell me a bio of Yehuda Lindell," Yehuda Lindell is an Israeli computer scientist and cryptographer. He is the co-founder and CEO of NSO Group, a cyber intelligence company that develops surveillance software for governments around the world.","| Yehuda Lindell is a person.	True |
| Yehuda Lindell is Israeli.	True |
| Yehuda Lindell is a computer scientist.	True |
| Yehuda Lindell is a cryptographer.	True |
| He is the co-founder of NSO Group.	False |
| He is the CEO of NSO Group.	False |
| NSO Group is a cyber intelligence company.	False |
| NSO Group develops surveillance software.	False |
| NSO Group develops surveillance software for governments around the world.	False |
","| He is the co-founder of NSO Group. |
| He is the CEO of NSO Group. |
| NSO Group is a cyber intelligence company. |
| NSO Group develops surveillance software. |
| NSO Group develops surveillance software for governments around the world. |
"
Tell me a bio of Kathleen A. McGrath," Kathleen A. McGrath is an American politician and lawyer serving as the 39th Lieutenant Governor of Massachusetts since 2019. She previously served in the Massachusetts House of Representatives from 1997 to 2005, representing the Third Barnstable District.","| Kathleen A. McGrath is an American.	True |
| Kathleen A. McGrath is a politician.	False |
| Kathleen A. McGrath is a lawyer.	False |
| Kathleen A. McGrath is serving as the 39th Lieutenant Governor of Massachusetts.	False |
| Kathleen A. McGrath has been serving as the 39th Lieutenant Governor of Massachusetts since 2019.	False |
| She previously served in the Massachusetts House of Representatives.	False |
| She served in the Massachusetts House of Representatives from 1997 to 2005.	False |
| She represented the Third Barnstable District.	False |
","| Kathleen A. McGrath is a politician. |
| Kathleen A. McGrath is a lawyer. |
| Kathleen A. McGrath is serving as the 39th Lieutenant Governor of Massachusetts. |
| Kathleen A. McGrath has been serving as the 39th Lieutenant Governor of Massachusetts since 2019. |
| She previously served in the Massachusetts House of Representatives. |
| She served in the Massachusetts House of Representatives from 1997 to 2005. |
| She represented the Third Barnstable District. |
"
Tell me a bio of Benjamin Lawrence Reid," Benjamin Lawrence Reid was an American mathematician and computer scientist. He is best known for his work on the theory of infinite-dimensional linear spaces, including Hilbert spaces, Banach spaces, and locally convex spaces. He also made important contributions to functional analysis and operator theory.","| Benjamin Lawrence Reid was an American.	True |
| Benjamin Lawrence Reid was a mathematician.	False |
| Benjamin Lawrence Reid was a computer scientist.	False |
| He is known for his work on the theory of infinite-dimensional linear spaces.	False |
| He is known for his work on Hilbert spaces.	False |
| Hilbert spaces are a type of infinite-dimensional linear space.	False |
| He is known for his work on Banach spaces.	False |
| Banach spaces are a type of infinite-dimensional linear space.	False |
| He is known for his work on locally convex spaces.	False |
| Locally convex spaces are a type of infinite-dimensional linear space.	False |
| He made important contributions.	True |
| The contributions were made to functional analysis.	False |
| The contributions were made to operator theory.	False |
","| Benjamin Lawrence Reid was a mathematician. |
| Benjamin Lawrence Reid was a computer scientist. |
| He is known for his work on the theory of infinite-dimensional linear spaces. |
| He is known for his work on Hilbert spaces. |
| Hilbert spaces are a type of infinite-dimensional linear space. |
| He is known for his work on Banach spaces. |
| Banach spaces are a type of infinite-dimensional linear space. |
| He is known for his work on locally convex spaces. |
| Locally convex spaces are a type of infinite-dimensional linear space. |
| The contributions were made to functional analysis. |
| The contributions were made to operator theory. |
"
Tell me a bio of Djimon Hounsou," Djimon Gaston Hounsou is an American-Beninese actor, producer and model. He has appeared in numerous films, including Amistad (1997), Blood Diamond (2006), Gladiator (2000), In America (2002), The Island (2005), Push (2009), Guardians of the Galaxy (2014) and Captain Marvel (2019). He also played the role of Korath in the Marvel Cinematic","| Djimon Gaston Hounsou is a person.	True |
| Djimon Gaston Hounsou is American.	False |
| Djimon Gaston Hounsou is Beninese.	True |
| Djimon Gaston Hounsou is an actor.	True |
| Djimon Gaston Hounsou is a producer.	False |
| Djimon Gaston Hounsou is a model.	True |
| He has appeared in numerous films.	True |
| He appeared in Amistad.	True |
| Amistad was released in 1997.	True |
| He appeared in Blood Diamond.	True |
| Blood Diamond was released in 2006.	True |
| He appeared in Gladiator.	True |
| Gladiator was released in 2000.	True |
| He appeared in In America.	True |
| In America was released in 2002.	False |
| He appeared in The Island.	True |
| The Island was released in 2005.	True |
| He appeared in Push.	True |
| Push was released in 2009.	True |
| He appeared in Guardians of the Galaxy.	True |
| Guardians of the Galaxy was released in 2014.	True |
| He appeared in Captain Marvel.	True |
| Captain Marvel was released in 2019.	True |
| He played the role of Korath.	True |
| He played the role of Korath in the Marvel Cinematic Universe.	True |
| Marvel Cinematic Universe is a franchise.	True |
| Korath is a character in the Marvel Cinematic Universe.	True |
","| Djimon Gaston Hounsou is American. |
| Djimon Gaston Hounsou is a producer. |
| In America was released in 2002. |
"
Tell me a bio of Vance Joy," Vance Joy is an Australian singer-songwriter. He was born in Melbourne, Victoria and grew up in the suburb of Anglesea. His real name is James Keogh. He began his career as a busker on the streets of Melbourne before releasing his debut EP 'God Loves You When You're Dancing' in 2013. The success of this release led to him signing with Atlantic Records and releasing his first full-length album 'Dream Your Life Away' in 201","| Vance Joy is a person.	True |
| Vance Joy is Australian.	True |
| Vance Joy is a singer-songwriter.	True |
| He was born in Melbourne, Victoria.	True |
| He grew up in the suburb of Anglesea.	True |
| His real name is James Keogh.	True |
| James Keogh is his real name.	True |
| He began his career as a busker.	True |
| He began his career on the streets of Melbourne.	False |
| He released his debut EP 'God Loves You When You're Dancing'.	True |
| His debut EP was released in 2013.	True |
| The release was successful.	True |
| The success of the release led to him signing with Atlantic Records.	True |
| He signed with Atlantic Records.	True |
| He released his first full-length album.	True |
| The first full-length album was 'Dream Your Life Away'.	True |
| The first full-length album was released in 201_.	False |
","| He began his career on the streets of Melbourne. |
| The first full-length album was released in 201_. |
"
Tell me a bio of Jimmy Tompkins (priest)," Jimmy Tompkins is an American Roman Catholic priest who served as the president of the University of Notre Dame from 1972 to 1990. He was born in New York City and attended St. Joseph's Seminary in Yonkers, New York before being ordained as a priest in 1951. After serving in various roles within the Church, including as a professor at Fordham University and later as a bishop, he became the president of Notre Dame in 1972. During his","| Jimmy Tompkins is an American.	False |
| Jimmy Tompkins is a Roman Catholic priest.	True |
| Jimmy Tompkins served as the president.	False |
| Jimmy Tompkins served as the president of the University of Notre Dame.	False |
| Jimmy Tompkins served as the president of the University of Notre Dame from 1972 to 1990.	False |
| He was born in New York City.	False |
| He attended St. Joseph's Seminary in Yonkers, New York.	False |
| He was ordained as a priest in 1951.	False |
| He served in various roles within the Church.	True |
| He was a professor at Fordham University.	False |
| He later became a bishop.	False |
| He became the president of Notre Dame in 1972.	False |
","| Jimmy Tompkins is an American. |
| Jimmy Tompkins served as the president. |
| Jimmy Tompkins served as the president of the University of Notre Dame. |
| Jimmy Tompkins served as the president of the University of Notre Dame from 1972 to 1990. |
| He was born in New York City. |
| He attended St. Joseph's Seminary in Yonkers, New York. |
| He was ordained as a priest in 1951. |
| He was a professor at Fordham University. |
| He later became a bishop. |
| He became the president of Notre Dame in 1972. |
"
Tell me a bio of Ahsee Tuala, Ahsee Tuala is an Australian professional rugby league footballer who plays for the St. George Illawarra Dragons in the National Rugby League (NRL). He primarily plays at fullback but can also play on the wing or at centre.,"| Ahsee Tuala is an Australian.	False |
| Ahsee Tuala is a professional rugby league footballer.	False |
| Ahsee Tuala plays for the St. George Illawarra Dragons.	False |
| The St. George Illawarra Dragons are a team in the National Rugby League (NRL).	False |
| Ahsee Tuala plays in the National Rugby League (NRL).	False |
| He primarily plays at fullback.	True |
| He can also play on the wing.	True |
| He can also play at centre.	True |
","| Ahsee Tuala is an Australian. |
| Ahsee Tuala is a professional rugby league footballer. |
| Ahsee Tuala plays for the St. George Illawarra Dragons. |
| The St. George Illawarra Dragons are a team in the National Rugby League (NRL). |
| Ahsee Tuala plays in the National Rugby League (NRL). |
"
Tell me a bio of Susan Sarandon," Susan Sarandon is an American actress and activist. She has won numerous awards including an Academy Award, two Golden Globes, and three Screen Actors Guild Awards. She is known for her roles in films such as Thelma & Louise, Dead Man Walking, and Bull Durham.","| Susan Sarandon is an American.	True |
| Susan Sarandon is an actress.	True |
| Susan Sarandon is an activist.	True |
| She has won an Academy Award.	True |
| She has won two Golden Globes.	True |
| She has won three Screen Actors Guild Awards.	False |
| She has won numerous awards.	True |
| She is known for her roles in films.	True |
| One of the films she is known for is Thelma & Louise.	True |
| Thelma & Louise is a film.	True |
| Another film she is known for is Dead Man Walking.	True |
| Dead Man Walking is a film.	True |
| Another film she is known for is Bull Durham.	True |
| Bull Durham is a film.	True |
","| She has won three Screen Actors Guild Awards. |
"
Tell me a bio of Don DeLillo," Donald Frank DeLillo is an American writer known for his postmodernist novels. He was born in New York City on November 20, 1936. DeLillo attended Fordham University and graduated with a bachelor's degree in English in 1958. After graduation, he worked as a copywriter for advertising agencies and later became a freelance writer. In the early 1960s, he wrote several short stories that were published in magazines such as Playboy and Esquire.","| Donald Frank DeLillo is an American.	False |
| Donald Frank DeLillo is a writer.	False |
| Donald Frank DeLillo is known for his postmodernist novels.	False |
| He was born in New York City.	True |
| He was born on November 20, 1936.	True |
| DeLillo attended Fordham University.	True |
| DeLillo graduated with a bachelor's degree in English.	False |
| DeLillo graduated in 1958.	True |
| He graduated.	True |
| He worked as a copywriter for advertising agencies.	True |
| He later became a freelance writer.	True |
| It was the early 1960s.	True |
| He wrote several short stories.	True |
| The short stories were published in magazines.	True |
| The magazines included Playboy.	False |
| The magazines included Esquire.	False |
","| Donald Frank DeLillo is an American. |
| Donald Frank DeLillo is a writer. |
| Donald Frank DeLillo is known for his postmodernist novels. |
| DeLillo graduated with a bachelor's degree in English. |
| The magazines included Playboy. |
| The magazines included Esquire. |
"
Tell me a bio of Ramli Sarip," Ramli Sarip was born on September 16, 1960 in Jakarta, Indonesia. He is an actor and producer, known for The Raid: Redemption (2011), Headshot (2016) and The Night Comes for Us (2018).","| Ramli Sarip was born on September 16, 1960.	False |
| Ramli Sarip was born in Jakarta.	False |
| Ramli Sarip was born in Indonesia.	False |
| He is an actor.	False |
| He is a producer.	True |
| He is known for The Raid: Redemption.	False |
| The Raid: Redemption was released in 2011.	False |
| He is known for Headshot.	False |
| Headshot was released in 2016.	False |
| He is known for The Night Comes for Us.	False |
| The Night Comes for Us was released in 2018.	False |
","| Ramli Sarip was born on September 16, 1960. |
| Ramli Sarip was born in Jakarta. |
| Ramli Sarip was born in Indonesia. |
| He is an actor. |
| He is known for The Raid: Redemption. |
| The Raid: Redemption was released in 2011. |
| He is known for Headshot. |
| Headshot was released in 2016. |
| He is known for The Night Comes for Us. |
| The Night Comes for Us was released in 2018. |
"
Tell me a bio of Michael Collins (astronaut)," Michael Collins was born on October 31, 1930 in Rome, Italy. He was an American astronaut who served as the command module pilot for Apollo 11, the first manned mission to land on the Moon. Collins was selected as an astronaut by NASA in 1963 and flew on two missions: Gemini 10 and Apollo 11. After his retirement from NASA, he became a business executive and author.","| Michael Collins was born on October 31, 1930.	True |
| Michael Collins was born in Rome, Italy.	True |
| He was an American astronaut.	True |
| He served as the command module pilot.	True |
| He served as the command module pilot for Apollo 11.	True |
| Apollo 11 was the first manned mission.	True |
| Apollo 11 was the first manned mission to land on the Moon.	True |
| Collins was selected as an astronaut by NASA.	True |
| Collins was selected as an astronaut by NASA in 1963.	True |
| Collins flew on two missions.	True |
| Collins flew on Gemini 10.	True |
| Collins flew on Apollo 11.	True |
| He retired from NASA.	True |
| After retirement from NASA, he became a business executive.	True |
| After retirement from NASA, he became an author.	True |
",
Tell me a bio of Elizabeth Inglis," Elizabeth Inglis was an Australian horse breeder and geneticist who played a significant role in the development of modern thoroughbred horses. She is known for her work on blood typing, which led to the discovery of the Bombay blood group. Inglis also founded the Australian National Stud, which has produced many champion racehorses.","| Elizabeth Inglis was Australian.	False |
| Elizabeth Inglis was a horse breeder.	False |
| Elizabeth Inglis was a geneticist.	False |
| Elizabeth Inglis played a significant role.	True |
| Elizabeth Inglis played a significant role in the development of modern thoroughbred horses.	False |
| She is known for her work.	True |
| She is known for her work on blood typing.	False |
| Her work on blood typing led to the discovery of the Bombay blood group.	False |
| Inglis founded the Australian National Stud.	False |
| The Australian National Stud has produced many champion racehorses.	False |
","| Elizabeth Inglis was Australian. |
| Elizabeth Inglis was a horse breeder. |
| Elizabeth Inglis was a geneticist. |
| Elizabeth Inglis played a significant role in the development of modern thoroughbred horses. |
| She is known for her work on blood typing. |
| Her work on blood typing led to the discovery of the Bombay blood group. |
| Inglis founded the Australian National Stud. |
| The Australian National Stud has produced many champion racehorses. |
"
Tell me a bio of Fifi Cooper," Fifi Cooper is a South African rapper, singer and songwriter. She was born on the 7th of July 1990 in Soweto, Johannesburg. Her real name is Nomalanga Thandiwe Radebe. She started her music career in 2009 when she released her first single called ""Loliwe"". Since then, she has released several other singles and albums which have been successful. She has also collaborated with other artists such as AKA, Cassper Nyovest","| Fifi Cooper is South African.	True |
| Fifi Cooper is a rapper.	True |
| Fifi Cooper is a singer.	False |
| Fifi Cooper is a songwriter.	True |
| She was born on the 7th of July 1990.	False |
| She was born in Soweto.	False |
| She was born in Johannesburg.	False |
| Her real name is Nomalanga Radebe.	False |
| Her real name is Thandiwe Radebe.	False |
| She started her music career in 2009.	False |
| She released her first single.	True |
| The first single she released is called ""Loliwe"".	False |
| She has released several singles.	True |
| She has released several albums.	True |
| The singles and albums have been successful.	True |
| The singles have been successful.	True |
| The albums have been successful.	True |
| She has collaborated with other artists.	True |
